Dates,Headlines
21 Apr 2016,IndusInd Bank Q4 net up 25% at Rs 620 cr; NPA rises slightly
21 Apr 2016,IndusInd Bank recommends dividend
20 Apr 2016,"IndusInd Bank Q4 profit seen up 27%, loan growth may be healthy"
18 Apr 2016,"Buy Petronet LNG, Amara Raja: Ashwani Gujral"
18 Apr 2016,"Buy GAIL India, TVS Motor may hit Rs 335: Prakash Gaba"
13 Apr 2016,"Buy IndusInd Bank, Bajaj Auto, Hero MotoCorp: Sudarshan Sukhani"
11 Apr 2016,"Buy Infosys, Idea, IndusInd Bank: Ashwani Gujral"
11 Apr 2016,"Buy IndusInd Bank, HDFC Bank; see better Q4 numbers: Ajay Bodke"
07 Apr 2016,"Sell Maruti Suzuki, IndusInd Bank; buy UPL: Ashwani Gujral"
07 Apr 2016,"Buy TCS, IndusInd Bank, BPCL: Sudarshan Sukhani"
05 Apr 2016,"Add Power Grid to portfolio, says Parag Thakkar"
02 Apr 2016,"DHFL may test Rs 300, Havells Rs 420: Ashwani Gujral"
31 Mar 2016,"IndusInd Bank may test Rs 965, HDFC Bank Rs 1075: Prakash Gaba"
30 Mar 2016,"Buy IndusInd Bank, Reliance Industries: Sudarshan Sukhani"
30 Mar 2016,6 stocks likely to see lot of action today
29 Mar 2016,"Short L&T, IndusInd Bank; go long in Kotak Bank: Siddarth Bhamre"
29 Mar 2016,Ashok Leyland sells stake worth Rs 299 crore in IndusInd Bank
31 Dec 2015,Like private banks; SBI top pick: R Sreesankar
31 Dec 2015,"IndusInd Bank looks strong, may test Rs 1000: Hemant Thukral"
31 Dec 2015,Buy IndusInd Bank; sell BPCL: Prakash Gaba
30 Dec 2015,"Go long in IndusInd Bank, says Aditya Agarwal"
30 Dec 2015,Short Bank of India; buy IndusInd Bank: Sukhani
28 Dec 2015,Top chart picks for December 28
24 Dec 2015,"Pick Kotak Mah Bank, IndusInd Bank: SP Tulsian"
24 Dec 2015,IndusInd Bank may touch Rs 970: Rahul Mohindar
23 Dec 2015,Sell Bank of India; prefer IndusInd Bank: Pankaj Jain
21 Dec 2015,Bank of Baroda may slip to Rs 152-155: Rajat Bose
18 Dec 2015,"Buy IndusInd Bank, SBI may test Rs 265: Rahul Mohindar"
18 Dec 2015,"Sell Axis Bank, target Rs 425.50: Rajat Bose"
16 Dec 2015,Dilip Shanghvi to make open offer to buy 26% Suzlon stake
15 Dec 2015,"Despite gloom over NPAs, these banks could be good bargains"
09 Dec 2015,IndusInd Bank opens a new branch in Indore
