Date,Open,Close,Label
03-02-2011,14.402,14.391,__label__2
04-02-2011,14.199,14.133,__label__1
07-02-2011,14.197,14.365,__label__2
08-02-2011,14.271,14.193,__label__1
09-02-2011,14.366,14.1,__label__2
10-02-2011,14.053,14.245,__label__1
11-02-2011,14.352,14.818,__label__2
14-02-2011,14.923,14.85,__label__2
15-02-2011,14.85,15.037,__label__1
16-02-2011,15.036,14.938,__label__1
17-02-2011,15.277,15.175,__label__2
18-02-2011,15.175,15.331,__label__1
22-02-2011,15.06,14.799,__label__1
23-02-2011,14.789,14.836,__label__1
24-02-2011,14.649,14.566,__label__1
25-02-2011,14.6,14.591,__label__2
28-02-2011,14.734,14.711,__label__2
01-03-2011,15.04,15.15,__label__2
02-03-2011,15.099,15.226,__label__1
03-03-2011,15.363,15.739,__label__2
04-03-2011,15.629,15.873,__label__1
07-03-2011,15.744,15.503,__label__1
08-03-2011,15.704,15.925,__label__2
09-03-2011,15.845,15.932,__label__1
10-03-2011,15.575,15.402,__label__1
11-03-2011,15.32,15.481,__label__1
14-03-2011,15.695,15.593,__label__2
15-03-2011,15.199,15.706,__label__1
16-03-2011,15.704,15.41,__label__1
17-03-2011,15.705,15.357,__label__2
18-03-2011,15.522,15.541,__label__2
21-03-2011,15.665,15.362,__label__2
22-03-2011,15.346,15.364,__label__1
23-03-2011,15.338,15.842,__label__1
24-03-2011,15.8,16.171,__label__1
25-03-2011,16.301001,16.232,__label__2
28-03-2011,16.455,16.302,__label__2
29-03-2011,16.495001,16.589001,__label__2
30-03-2011,16.645,16.747,__label__2
31-03-2011,16.750999,16.993999,__label__2
01-04-2011,17.004999,17.239,__label__2
04-04-2011,17.402,17.643,__label__2
05-04-2011,17.48,17.618999,__label__1
06-04-2011,17.598,17.555,__label__1
07-04-2011,17.450001,17.15,__label__1
08-04-2011,17.346001,17.215,__label__2
11-04-2011,16.947001,16.983,__label__1
12-04-2011,16.775999,16.875,__label__1
13-04-2011,17.32,17.382,__label__2
14-04-2011,17.389999,17.257999,__label__2
15-04-2011,17.4,17.024,__label__2
18-04-2011,16.944,16.975,__label__1
19-04-2011,17.087999,17.27,__label__2
