Dates,Headlines
21 Oct 2015,"Exit Tata Steel on rally, like IndusInd Bank: Rakesh Bansal"
19 Oct 2015,AB Money 'Neurtal' on IndusInd Bank; target of Rs 1010
15 Oct 2015,"Money laundering scam: ICICI, OBC, Axis Bank in ED's net"
14 Oct 2015,Buy IndusInd Bank; target of Rs 1060: Firstcall
13 Oct 2015,Buy IndusInd Bank; target of Rs 1060: Firstcall research
13 Oct 2015,Accumulate IndusInd Bank; target of Rs 1070: P Lilladher
13 Oct 2015,Buy Indusind Bank; target of Rs 1050: ICICIdirect
12 Oct 2015,Hold Indusind Bank; target of Rs 1020: Edelweiss
12 Oct 2015,Buy IndusInd Bank; target of Rs 1175: Reliance Securities
09 Oct 2015,"Like pharma, consumer stocks: Gautam Sinha Roy"
09 Oct 2015,Six in 60: Six stocks one needs to keep an eye on
09 Oct 2015,"Buy NBCC; sell Maruti, IndusInd Bank: Rajat Bose"
09 Oct 2015,"IndusInd Bank Q2 beats estimates; profit, NII jump over 30%"
09 Oct 2015,Positive on IndusInd Bank: Deven Choksey
09 Oct 2015,Positive on private sector banks: Nischal Maheshwari
08 Oct 2015,"IndusInd Bank Q2 profit, NII growth may be over 26%: Poll"
07 Oct 2015,"Keep SBI, ICICI Bank, HDFC Bank in portfolio: R Sreesankar"
07 Oct 2015,"NCDEX, Kotak Mahindra Bk pact to provide commodities loans"
06 Oct 2015,Buy IndusInd Bank 940 Put: Gaurav Bissa
05 Oct 2015,Indusind Bank inaugurates a new branch at Jamshedpur
01 Oct 2015,"SBI, HDFC Bank, ICICI Bank have upside potential: Sukhani"
01 Oct 2015,"IndusInd Bank's Q2 results on Oct 09, 2015"
30 Sep 2015,"Exit SBI, invest in IndusInd Bank: Vishal Malkan"
29 Sep 2015,Accumulate IndusInd Bank; target of Rs 1080: Emkay
24 Sep 2015,"Lupin, Infosys, IndusInd Bank look interesting: MOST"
23 Sep 2015,"Prefer HDFC Bank, Dalmia Bharat: Mehraboon Irani"
19 Sep 2015,Diwali shopping list: 7 largecaps may give high returns
18 Sep 2015,"Buy IndusInd Bank 920 Call, BoB 185 Call: VK Sharma"
10 Sep 2015,"HDFC Bank, Infosys top picks; like L&T, IOC: R Sreeshankar"
07 Sep 2015,"Prefer Bank of Baroda, IndusInd Bank: Meghana Malkan"
07 Sep 2015,"Buy HDFC Bank, IndusInd Bank: Sahil Kapoor"
05 Sep 2015,All weather stocks: 11 large caps to buy on market crash
04 Sep 2015,Foreign investors can buy more shares in IndusInd Bank
03 Sep 2015,IndusInd Bank: Updates on outcome of AGM
03 Sep 2015,"Buy HDFC Bank, HDFC, Kotak Bank: Mehraboon Irani"
03 Sep 2015,"HDFC Bank, ICICI Bank, SBI top picks: R Sreesankar"
03 Sep 2015,"Buy IndusInd Bank, target Rs 930: Sahil Kapoor"
03 Sep 2015,Moving towards marginal cost of funding: IndusInd Bk
01 Sep 2015,Prefer IndusInd Bank for long term: Parag Thakkar
29 Aug 2015,"Buy IndusInd Bank, Kotak Mahindra, Maruti: Sanjay Dutt"
26 Aug 2015,"Sell Arvind, IndusInd Bank; buy Indraprastha Gas: Sukhani"
25 Aug 2015,"Short IndusInd Bank, can move lower to Rs 800-820: MOST"
25 Aug 2015,"Sell IndusInd Bank, target Rs 770: Shubham Agarwal"
25 Aug 2015,"Buy YES Bank, IndusInd Bank, ICICI Bank on dips: Elara Cap"
20 Aug 2015,"Buy YES Bank, IndusInd Bank; like ICICI Bank: Devang Mehta"
19 Aug 2015,"Pick IndusInd Bank, expect move to Rs 1070: ICICIdirect"
18 Aug 2015,"Buy JK Tyre, IndusInd Bank: Kunal Bothra"
18 Aug 2015,"Hold Kotak Mahindra Bank, IndusInd Bank: Rahul Mohindar"
31 Dec 2014,"Buy Arvind, IndusInd Bank, Sun Pharma: Sukhani"
29 Dec 2014,"IndusInd Bank Q3 results on Jan 13, 2015"
26 Dec 2014,IndusInd Bank re-appoints Romesh Sobti as MD & CEO 
24 Dec 2014,Buy IndusInd Bank on breakout: Sudarshan Sukhani
19 Dec 2014,"Buy IndusInd Bank, Canara Bank; sell Wipro: Rahul Mohindar"
17 Dec 2014,Prefer Asian Paints for long term: Sudarshan Sukhani
11 Dec 2014,IndusInd Bank expands presence across Punjab
28 Nov 2014,"Prefer Kotak Mahindra Bank, Emami: Rajesh Agarwal"
25 Nov 2014,IndusInd Bank top pick; sell Syndicate Bank: Rahul Arora
24 Nov 2014,"Buy Federal Bank, IndusInd Bank: Parag Thakkar"
17 Nov 2014,Accumulate IndusInd Bank; target of Rs 750: ABMoney
12 Nov 2014,"Pick IndusInd Bank, says Parag Thakkar"
12 Nov 2014,"Prefer YES Bank, Bank of Baroda: Mayuresh Joshi"
09 Nov 2014,It's time we stop over-dependence on 'fickle FIIs': Parekh
03 Nov 2014,Hold IndusInd Bank; target of Rs 750: Sushil Finance
03 Nov 2014,"Buy IndusInd Bank, Federal Bank on dips: Parag Thakkar"
31 Oct 2014,IndusInd Bank's director Ajay Hinduja resigns
30 Oct 2014,'YES Bank posted strong Q2 nos; accumulate on stock'
20 Oct 2014,IndusInd Bank may test Rs 710: Rahul Shah
17 Oct 2014,"Hold IndusInd Bank, advises Kunal Bothra"
16 Oct 2014,IndusInd Bank may touch Rs 660-670: Kunal Bothra
16 Oct 2014,"Buy IndusInd Bank, Tata Chemicals: Kunal Bothra"
16 Oct 2014,"Buy IndusInd Bank, UPL, LIC Housing Finance: Kunal Saraogi"
16 Oct 2014,"Bull's Eye: Buy Glenmark, HPCL, Sintex, IndusInd Bank"
14 Oct 2014,Hold IndusInd Bank; tgt of Rs 685: Arihant capital market
14 Oct 2014,Buy IndusInd Bank; target of Rs 715: KRChoksey
14 Oct 2014,Buy IndusInd Bank; target of Rs 714: ICICIdirect
14 Oct 2014,"Buy Tata Power, REC, IndusInd Bank: Sudarshan Sukhani"
14 Oct 2014,Accumulate IndusInd Bank; target of Rs 690: PLilladher
14 Oct 2014,Hold IndusInd Bank; target of Rs 650: Emkay
14 Oct 2014,"Buy IndusInd Bank, advises Sudarshan Sukhani"
13 Oct 2014,Buy IndusInd Bank at target of Rs 714: ICICI Direct
13 Oct 2014,"Buy IndusInd Bank, advises Sudarshan Sukhani"
13 Oct 2014,IndusInd Bank Q2 profit up 30% to Rs 430 cr on other income
13 Oct 2014,"YES Bank, IndusInd to post good Q2 results: Edelweiss"
13 Oct 2014,IndusInd Bank Q2 profit may jump 25% to Rs 412 cr: Poll
13 Oct 2014,IndusInd Bank Q2 PAT seen up 30% at Rs 430 cr: KR Choksey
13 Oct 2014,IndusInd Bank Q2 PAT may rise 30.6% at Rs 431.4 cr: MOST
25 Sep 2014,Accumulate IndusInd Bank; target of Rs 625: PLilladher
