Date,Open Price,Close Price,Label
04-Jan-12,2854,2854.25,__label__2
03-Jan-12,2825,2864.6,__label__1
02-Jan-12,2763.9,2804.85,__label__1
30-Dec-11,2745.8,2765.05,__label__1
29-Dec-11,2755,2743.65,__label__1
28-Dec-11,2760.15,2780.85,__label__2
27-Dec-11,2767.95,2761.65,__label__1
26-Dec-11,2689,2773.35,__label__1
23-Dec-11,2735.15,2694.85,__label__1
22-Dec-11,2679.8,2714.8,__label__1
21-Dec-11,2714.9,2744.25,__label__2
20-Dec-11,2686,2667.35,__label__1
19-Dec-11,2695,2674.15,__label__2
16-Dec-11,2699,2717.2,__label__2
15-Dec-11,2729,2715.25,__label__2
14-Dec-11,2753,2740.9,__label__2
13-Dec-11,2724.1,2754.65,__label__1
12-Dec-11,2719,2731.25,__label__1
09-Dec-11,2667.5,2706.15,__label__1
08-Dec-11,2747,2723.75,__label__2
07-Dec-11,2710,2752.8,__label__1
05-Dec-11,2694.95,2700.05,__label__1
02-Dec-11,2650,2696.8,__label__1
01-Dec-11,2665,2652.8,__label__1
30-Nov-11,2505.35,2607.55,__label__1
29-Nov-11,2632,2606.1,__label__2
28-Nov-11,2620,2643.25,__label__2
25-Nov-11,2654,2600.6,__label__2
24-Nov-11,2648,2666.6,__label__2
23-Nov-11,2688,2650.55,__label__2
22-Nov-11,2629,2723.15,__label__1
21-Nov-11,2723,2661.2,__label__1
18-Nov-11,2735,2739.5,__label__2
17-Nov-11,2769,2750.8,__label__2
16-Nov-11,2796,2776.1,__label__2
15-Nov-11,2804.7,2792.5,__label__2
14-Nov-11,2805,2808.45,__label__2
11-Nov-11,2750,2775.6,__label__1
09-Nov-11,2841,2832.1,__label__2
08-Nov-11,2810,2839.15,__label__1
04-Nov-11,2846,2829.1,__label__2
03-Nov-11,2833.7,2802.15,__label__2
02-Nov-11,2823,2828.65,__label__2
01-Nov-11,2840.1,2837.2,__label__2
31-Oct-11,2846,2875.2,__label__2
28-Oct-11,2906,2859.65,__label__2
26-Oct-11,2862,2838.75,__label__2
25-Oct-11,2800,2853.5,__label__1
24-Oct-11,2747,2767.7,__label__1
21-Oct-11,2746,2722.7,__label__1
20-Oct-11,2692,2745.95,__label__1
19-Oct-11,2720,2727.25,__label__1
18-Oct-11,2699,2703.1,__label__1
17-Oct-11,2761,2747.25,__label__2
14-Oct-11,2707,2744.65,__label__1
13-Oct-11,2712,2695.35,__label__1
12-Oct-11,2601,2680.5,__label__1
11-Oct-11,2583,2509.2,__label__1
10-Oct-11,2544,2591.3,__label__2
07-Oct-11,2555.35,2507.05,__label__1
05-Oct-11,2463.05,2454.3,__label__1
