Time,Dates,Sources,Headlines
8.59 am , 08 Nov 2013 ,   Source: CNBC-TV18,"Bull's Eye: Buy MRPL, KPIT Tech; sell PTC India, Voltas"
12.25 pm , 31 Oct 2013 ,   Source: Moneycontrol.com,Torrent Pharma consolidated Sep '13 sales at Rs 972.00 crore
12.51 pm , 29 Jul 2013 ,   Source: CNBC-TV18,Torrent Pharma has target of Rs 600: SP Tulsian
9.37 am , 29 Jul 2013 ,   Source: CNBC-TV18,"Multibagger Picks: Torrent Pharma, Indraprastha Medical"
11.57 am , 27 Jul 2013 ,   Source: Moneycontrol.com,Torrent Pharma appoints Pradeep Bhargava as director
11.11 pm , 26 Jul 2013 ,   Source: PTI,Torrent Pharma Q1 Net up 46% at Rs 149 cr
8.13 pm , 26 Jul 2013 ,   Source: Moneycontrol.com,Torrent Pharma: Outcome of AGM
8.11 pm , 16 Jul 2013 ,   Source: Moneycontrol.com,Torrent Pharma fixes record date for Bonus Issue
4.26 pm , 27 Jun 2013 ,   Source: Moneycontrol.com,"Torrent Pharma: AGM on July 26, 2013"
12.29 pm , 08 Jun 2013 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target Rs 891: Sushil Finance
12.27 pm , 06 Jun 2013 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 925: Firstcall Research
8.04 pm , 31 May 2013 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals fixes book closure for A G M
1.01 am , 31 May 2013 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals board recommend dividends & bonus issue
7.36 pm , 13 May 2013 ,   Source: Moneycontrol.com,Torrent Pharma board to consider final dividend
1.30 pm , 16 Apr 2013 ,   Source: Moneycontrol.com,Pharma cos likely to post 21% EBITDA growth in Q4: MOST
3.25 pm , 15 Feb 2013 ,   Source: Moneycontrol.com,Torrent Pharma gains on USFDA nod for generics of Actos
4.40 pm , 09 Feb 2013 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target Rs 739: Sushil Finance
6.12 pm , 05 Feb 2013 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 923: Motilal Oswal
12.38 pm , 02 Feb 2013 ,   Source: Moneycontrol.com,Accumulate Torrent Pharma; target of Rs 818: Dolat Capital
1.23 pm , 31 Jan 2013 ,   Source: Moneycontrol.com,Buy Torrent Pharmaceuticals; target Rs 875: P Lilladher
11.54 am , 30 Jan 2013 ,   Source: Moneycontrol.com,Torrent Pharma consolidated Dec '12 sales at Rs 797.51 crore
5.40 pm , 29 Jan 2013 ,   Source: Moneycontrol.com,Torrent Pharma board declares interim dividend
1.17 pm , 18 Jan 2013 ,   Source: Moneycontrol.com,Torrent Pharma fixes record date for interim dividend
1.17 pm , 18 Jan 2013 ,   Source: Moneycontrol.com,"Torrent Pharma Q3 results on Jan 29, 2013"
3.52 pm , 12 Jan 2013 ,   Source: Moneycontrol.com,Good performance likely from pharma in Q3: Nirmal Bang
11.54 am , 12 Jan 2013 ,   Source: Moneycontrol.com,See pharma sector's Q3 topline to grow 22%: Motilal Oswal
10.57 am , 12 Jan 2013 ,   Source: Moneycontrol.com,See pharma sector's Q3 adj PAT to grow 26% YoY: P Lilladher
4.23 pm , 09 Jan 2013 ,   Source: CNBC-TV18,"Bodke upbeat on Shree Cements, JK Bank, Bharat Electronics"
9.38 am , 02 Jan 2013 ,   Source: CNBC-TV18,Torrent Pharma can go above Rs 1000: SP Tulsian
11.53 am , 19 Nov 2012 ,   Source: CNBC-TV18,Expect 24-25% upside in Torrent Pharma: Ajay Bodke
11.23 am , 19 Nov 2012 ,   Source: CNBC-TV18,Check out: Prabhudas Lilladher's largecap and midcap picks
12.22 pm , 31 Oct 2012 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 785: Emkay
6.29 pm , 29 Oct 2012 ,   Source: Moneycontrol.com,Torrent Pharma Sep '12 sales at Rs 688.92 crore
3.09 pm , 08 Oct 2012 ,   Source: Moneycontrol.com,"Torrent Pharma Q2 results on Oct 26, 2012"
