Time,Dates,Sources,Headlines
5.02 pm , 24 Sep 2012 ,   Source: CNBC-TV18,"Exit ONGC around Rs 295- 300 levels, says Baliga"
12.08 pm , 24 Sep 2012 ,   Source: Moneycontrol.com,Infosys fixes Oct 19 as record date for interim dividend
10.39 am , 24 Sep 2012 ,   Source: CNBC-TV18,"Infosys has target of Rs 2520-2510, says Thukral"
5.04 pm , 20 Sep 2012 ,   Source: CNBC-TV18,"Infosys a good defensive bet, says Dilip Bhat"
9.56 am , 18 Sep 2012 ,   Source: Reuters,"BofA-ML upgrades Infosys, Tech Mahindra to 'buy'"
2.27 pm , 13 Sep 2012 ,   Source: Moneycontrol.com,Hold Infosys; target of Rs 2519: R K Global
9.30 am , 13 Sep 2012 ,   Source: CNBC-TV18,"Stock view: Ambareesh Baliga's advice on Tata Motors, Infy"
8.58 am , 12 Sep 2012 ,   Source: Moneycontrol.com,"Sell Infosys, buy Infinite Computer: GEPL Capital"
7.32 pm , 11 Sep 2012 ,   Source: CNBC-TV18,Buy Infosys with a target of Rs 2600-2650: Kulkarni
2.22 pm , 11 Sep 2012 ,   Source: Moneycontrol.com,Sell Infosys at current level: Mehta
2.12 pm , 11 Sep 2012 ,   Source: Moneycontrol.com,Hold Infosys; target of Rs 2720: Sushil Finance
1.26 pm , 11 Sep 2012 ,   Source: Moneycontrol.com,Sell Infosys; target of Rs 2363: Nirmal Bang
10.27 am , 11 Sep 2012 ,   Source: CNBC-TV18,"Short Infosys, says Siddharth Bhamre"
6.23 pm , 10 Sep 2012 ,   Source: Moneycontrol.com,Alpha Trade: Buy Infy Sept fut; Sell Nifty says ICICIdirect
2.28 pm , 10 Sep 2012 ,   Source: Moneycontrol.com,Lodestone buy driven by need to balance portfolio: Infosys
1.40 pm , 10 Sep 2012 ,   Source: Moneycontrol.com,Infosys to acquire Lodestone Holding AG
12.54 pm , 10 Sep 2012 ,   Source: Moneycontrol.com,"Hold Infosys; exit Pantaloon, JSPL: Sukhani"
12.36 pm , 10 Sep 2012 ,   Source: CNBC-TV18,Lodestone is a good strategic fit for Infosys: JM Financial
12.24 pm , 10 Sep 2012 ,   Source: Moneycontrol.com,"Buy Infosys, target of Rs 2850: Prabhudas Lilladher"
10.51 am , 10 Sep 2012 ,   Source: CNBC-TV18,Infy's Swiss co buy a step in right direction: Ambit Cap
10.47 am , 10 Sep 2012 ,   Source: CNBC-TV18,SP Tulsian positive on Infosys
9.00 am , 10 Sep 2012 ,   Source: Moneycontrol.com,Infosys to buy Zurich-based Lodestone Holding at USD 350 m
6.42 pm , 07 Sep 2012 ,   Source: CNBC-TV18,"Scouting for acquisitions in product, platform biz: Infosys"
8.42 am , 07 Sep 2012 ,   Source: Reuters,"Plan in place for struggling Infosys, but no quick returns"
5.45 pm , 05 Sep 2012 ,   Source: PTI,"Infosys BPO to recruit 8,000 more this year"
7.16 pm , 04 Sep 2012 ,   Source: Reuters,'Infosys open to acquisitions exceeding 10% of its revenue'
7.04 pm , 30 Aug 2012 ,   Source: CNBC-TV18,Buy Reliance Inds on dips; sell Infosys on rally: Bhamre
5.36 pm , 30 Aug 2012 ,   Source: CNBC-TV18,Company focusing on big acquisitions for growth: Infosys
2.53 pm , 30 Aug 2012 ,   Source: PTI,"KV Kamath disagrees with SBI chief, says CRR isn't an issue"
8.20 pm , 24 Aug 2012 ,   Source: CNBC-TV18,"Industry leaders voice concern on growth target, reforms"
11.46 am , 24 Aug 2012 ,   Source: Reuters,"Stay cautious on Infosys, BofA-Merrill warns"
8.07 pm , 23 Aug 2012 ,   Source: PTI,Biz sentiment in US better than Europe: Infosys
