Dates,Headlines
09 Jun 2017,IndusInd Bank to raise $225 mn to support enterprises in India
07 Jun 2017,"Will not look to stretch loan growth at 25%, says IndusInd Bank"
06 Jun 2017,"Buy IndusInd Bank, sell Oil India: Sandeep Wagle"
06 Jun 2017,"Buy IndusInd Bank, Petronet LNG; sell M&M Financial Services: Ashwani Gujral"
02 Jun 2017,"IndusInd Bank can climb to Rs 1540, Muthoot Finance Rs 435: Prakash Gaba"
25 May 2017,"Buy IndusInd Bank, Jindal Steel & Power: Mitessh Thakkar"
25 May 2017,"Buy IndusInd Bank, Jindal Steel & Power: Mitessh Thakkar"
25 May 2017,"Buy IndusInd Bank, L&T, Jain Irrigation Systems: Ashwani Gujral"
25 May 2017,"Buy IndusInd Bank, sell Hindalco Industries below Rs 186: Mitessh Thakkar"
22 May 2017,"Short IndusInd Bank, BPCL; buy Bharat Forge: Rahul Shah"
22 May 2017,"Sell IndusInd Bk, Torrent Pharma, Coal India; buy Adani Ports, Escorts: Sukhani"
02 May 2017,Buy Indusind Bank; target of Rs 1630: Axis Direct
27 Apr 2017,"Buy IndusInd Bank, Hindustan Unilever, Larsen & Toubro: Ashwani Gujral"
24 Apr 2017,"IndusInd Bank inaugurates new branch in Bhinder, Rajasthan"
24 Apr 2017,"IndusInd Bank inaugurates new branch in Bhinder, Rajasthan"
21 Apr 2017,Buy IndusInd Bank; target of Rs 1570: ICICI Direct
21 Apr 2017,Buy IndusInd Bank; target of Rs 1550: HDFC Securities
21 Apr 2017,Buy Indusind Bank; target of Rs 1700: Motilal Oswal
21 Apr 2017,Buy Indusind Bank; target of Rs 1560: Edelweiss
20 Apr 2017,Analysts stay bullish on IndusInd despite one-off provisions restrict Q4 profit growth
20 Apr 2017,IndusInd and Yes: Where should investors put their money after the disappointment?
20 Apr 2017,"Cement company drills Rs 350cr hole in IndusInd, Yes Bank profits"
19 Apr 2017,"Loan growth should remain in mid-20s: Romesh Sobti, IndusInd Bank"
19 Apr 2017,Buy IndusInd Bank on dips: Shahina Mukadam
19 Apr 2017,IndusInd Bank may test Rs 1800: Sandeep Wagle
19 Apr 2017,"IndusInd Bank Q4 profit misses estimates, up 21%; NPA flat but provisions double"
18 Apr 2017,"IndusInd Bank to raise Rs 1,000 cr via bonds"
18 Apr 2017,"IndusInd Bank Q4 profit seen up 26% at Rs 783 cr, loan growth may be 25%"
17 Apr 2017,IndusInd Bank launches IndusForex.com
07 Apr 2017,"Bull's Eye: Buy IndusInd Bank, Balmer Lawrie, CONCOR, Tata Elxsi"
05 Apr 2017,"IndusInd Bank to raise Rs 1,000 cr via Basel III bonds"
29 Mar 2017,"Lohia Auto, IndusInd Bank extend tie-up to e-three wheelers"
28 Mar 2017,"Buy IndusInd Bank, Bajaj Finance, Tata Chemicals; sell ACC, Glenmark Pharma: Sudarshan Sukhani"
21 Mar 2017,"Buy IndusInd Bank, Ajanta Pharma, IFCI: Ashwani Gujral"
21 Mar 2017,IndusInd Bank opens new branch in Faridabad
20 Mar 2017,"IndusInd Bank raises Rs 1,000 crore via bonds"
15 Mar 2017,IndusInd Bank enters into agreement with Infrastructure Leasing and Financial Services 
14 Mar 2017,IndusInd Bank to acquire 100% stake in ISSL
14 Mar 2017,"Buy IndusInd Bank, Hero MotoCorp, Mindtree: Rahul Shah"
10 Mar 2017,COMMENT- Is Bharat Financial a worthy Inclusion for IndusInd?
10 Mar 2017,UP election results to have marginal impact on mkts: Samir Arora
10 Mar 2017,Here are Deven Choksey's top trading ideas
10 Mar 2017,IndusInd Bank confirms deal talks with MFI Bharat Financial
09 Mar 2017,Bharat Fin merger to lift IIB's RoA but execution key: Macquarie
09 Mar 2017,"Buy, sell, hold: 4 stocks that you can focus today"
08 Mar 2017,"Prefer UPL, see 5-7% upside: Anu Jain"
08 Mar 2017,IndusInd Bank opens new branch in Sikar
07 Mar 2017,Bharat Financial trading volumes surge on IndusInd deal buzz
02 Mar 2017,"IndusInd, Bharat Financial call off deal on valuation worry:Srcs"
27 Feb 2017,"After IndusInd Bank, RBL enters race for merger with Bharat Fin"
24 Feb 2017,We haven't been approached by anyone: Axis Bank's Shikha Sharma
23 Feb 2017,"Buy DCB Bank, Cadila Health, IndusInd Bk, Grasim: Gujral"
23 Feb 2017,"Buy RIL, Bharat Financial, IndusInd Bank, Tech Mahindra: Sukhani"
23 Feb 2017,"IT ministry, UIDAI ask banks to move to Aadhaar Pay by March end"
20 Feb 2017,"Buy IndusInd Bank, JSW Steel, Bharat Forge: Rahul Shah"
17 Feb 2017,"Sell Kotak Mah Bank, Axis Bank, IndusInd Bank: Ashwani Gujral"
17 Feb 2017,"Wipro can climb to Rs 490, by Cadila Healthcare on dips: Gaba"
17 Feb 2017,Buy IndusInd Bank; sell Godrej Industries: Sandeep Wagle 
13 Feb 2017,"Buy M&M Financial, IndusInd Bank, Exide: Sudarshan Sukhani"
12 Feb 2017,Indusind Bank not to grow unsecured book beyond 5%
10 Feb 2017,World could see a protectionism mega trend: Uday Kotak
09 Feb 2017,Here are a few stock ideas from Deven Choksey
06 Feb 2017,"Buy Apollo Hospitals, IndusInd Bank, DCB Bank: VK Sharma"
02 Feb 2017,"Indiabulls Housing Finance looks good, says Prakash Gaba"
