Time,Dates,Sources,Headlines
9.15 pm , 10 Jun 2015 ,   Source: Reuters,Indusind Bk in talks with banks for $750 m share sale: Srcs
4.34 pm , 09 Jun 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Mehraboon Irani"
4.35 pm , 08 Jun 2015 ,   Source: CNBC-TV18,"Prefer IndusInd Bank, HDFC Bank: Ambareesh Baliga"
11.33 am , 08 Jun 2015 ,   Source: CNBC-TV18,Short IndusInd Bank; target Rs 810-815: Hemant Thukral
6.40 pm , 05 Jun 2015 ,   Source: PTI,R Seshasayee replaces KV Kamath as Infosys Chairman
9.27 am , 05 Jun 2015 ,   Source: CNBC-TV18,"Sell IndusInd Bank, target Rs 760: Shubham Agarwal"
4.54 pm , 04 Jun 2015 ,   Source: CNBC-TV18,Look at Kotak Mahindra Bank: CK Narayan
11.40 am , 04 Jun 2015 ,   Source: CNBC-TV18,"Look at HDFC Bank, DCB Bank: Ambareesh Baliga"
11.02 am , 02 Jun 2015 ,   Source: CNBC-TV18,"Buy Voltas, pick YES Bank, look at BHEL, HDIL: CK Narayan"
3.40 pm , 29 May 2015 ,   Source: CNBC-TV18,Prefer private sector banks: Gaurang Shah
3.35 pm , 22 May 2015 ,   Source: CNBC-TV18,"Exit IDBI Bank, prefer ICICI Bank: Gaurang Shah"
1.54 pm , 21 May 2015 ,   Source: CNBC-TV18,Go long in IndusInd Bank 840 Put: Gaurav Bissa
2.18 pm , 20 May 2015 ,   Source: PTI,"IndusInd Bank, Worldpay ink pact to offer services in India"
2.59 pm , 15 May 2015 ,   Source: CNBC-TV18,"Prefer Axis Bank, IndusInd Bank: Gaurang Shah"
2.48 pm , 12 May 2015 ,   Source: CNBC-TV18,"Short BHEL, IndusInd Bank: Ashish Chaturmohta"
4.36 pm , 07 May 2015 ,   Source: CNBC-TV18,"Look at PNB, IndusInd Bank: Mehraboon Irani"
4.14 pm , 07 May 2015 ,   Source: CNBC-TV18,Prefer private banks: Devang Mehta
2.49 pm , 06 May 2015 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 960: Sushil Finance
10.50 am , 30 Apr 2015 ,   Source: CNBC-TV18,Prefer private sector banks over PSU banks: Baliga
2.38 pm , 24 Apr 2015 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 984: Emkay
11.31 am , 22 Apr 2015 ,   Source: CNBC-TV18,"Prefer Axis Bank, IndusInd Bank: Parag Thakkar"
10.27 am , 22 Apr 2015 ,   Source: CNBC-TV18,"Sell IndusInd Bank, advises Sudarshan Sukhani"
10.25 am , 22 Apr 2015 ,   Source: CNBC-TV18,"Buy IT stocks on dips, says Parag Thakkar"
1.36 pm , 21 Apr 2015 ,   Source: CNBC-TV18,"Hold IndusInd Bank, says Mahantesh Sabarad"
11.58 am , 18 Apr 2015 ,   Source: CNBC-TV18,"Buy Lupin, Bharat Forge: CK Narayan"
5.30 pm , 17 Apr 2015 ,   Source: CNBC-TV18,"Prefer IndusInd Bank, says Mehraboon Irani"
1.56 pm , 17 Apr 2015 ,   Source: Moneycontrol.com,IndusInd Bank: Updates on outcome of board meeting
11.41 am , 17 Apr 2015 ,   Source: Moneycontrol.com,Indusind Bank appoints Yashodhan M. Kale as additional director
3.11 pm , 16 Apr 2015 ,   Source: CNBC-TV18,IndusInd’s Q4 in line; CV book guidance key: Nirmal Bang
1.56 pm , 16 Apr 2015 ,   Source: Moneycontrol.com,"IndusInd Bank Q4 profit jumps 25%, asset quality improves"
1.55 pm , 16 Apr 2015 ,   Source: Moneycontrol.com,IndusInd Bank recommends dividend of Rs 4 per share
11.02 am , 16 Apr 2015 ,   Source: CNBC-TV18,DCB Bank may hit Rs 148 in 2-3 months: Ambareesh Baliga
5.02 pm , 15 Apr 2015 ,   Source: CNBC-TV18,IndusInd Bank Q4 profit seen up 25.8% to Rs 498 cr: Poll
7.37 pm , 10 Apr 2015 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 1110: ICICIdirect
9.35 am , 10 Apr 2015 ,   Source: Moneycontrol.com,To buy RBS unit; acquisition to be EPS-accretive: IndusInd
9.29 am , 10 Apr 2015 ,   Source: Moneycontrol.com,Indusind Bank to acquire Royal Bank of Scotland's Diamond & Jewellery Financing biz in India
2.34 pm , 27 Mar 2015 ,   Source: CNBC-TV18,IndusInd Bank may hit Rs 900-910: Kunal Bothra
9.35 am , 26 Mar 2015 ,   Source: CNBC-TV18,"Short IndusInd Bank, says Sudarshan Sukhani"
3.27 pm , 18 Mar 2015 ,   Source: CNBC-TV18,Go long in IndusInd Bank: Rahul Mohindar
5.13 pm , 17 Mar 2015 ,   Source: CNBC-TV18,Look at IndusInd Bank: Rahul Mohindar
8.53 am , 13 Mar 2015 ,   Source: CNBC-TV18,Here are top 10 stocks to keep an eye on March 13
11.05 am , 12 Mar 2015 ,   Source: Moneycontrol.com,"IndusInd Bank expands presence across Chandigarh, Panipat and Mohali"
3.42 pm , 10 Mar 2015 ,   Source: CNBC-TV18,"Prefer Axis Bank, HDFC Bank, YES Bank, IndusInd Bank: Bhat"
5.07 pm , 04 Mar 2015 ,   Source: CNBC-TV18,Look at private sector banks: Parag Thakkar
11.30 am , 03 Mar 2015 ,   Source: CNBC-TV18,"Pick IndusInd Bank, Kotak Mahindra Bank: CK Narayan"
3.09 pm , 20 Feb 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, UCO Bank: Manas Jaiswal"
12.31 pm , 19 Feb 2015 ,   Source: PTI,"IndusInd Bank to raise upto Rs 2,000cr via bonds and NCD"
11.42 am , 12 Feb 2015 ,   Source: CNBC-TV18,To invest over $1.5bn in India over 5 yrs: General Atlantic
9.33 am , 12 Feb 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says Sudarshan Sukhani"
9.54 am , 11 Feb 2015 ,   Source: CNBC-TV18,"Axis Bank, IndusInd Bank, Kotak Bank top picks: Thakkar"
3.39 pm , 06 Feb 2015 ,   Source: CNBC-TV18,"Exit PNB, look at ICICI Bank: Gaurang Shah"
5.15 pm , 02 Feb 2015 ,   Source: CNBC-TV18,"Buy Axis Bank, DCB Bank on declines: Ambareesh Baliga"
4.59 pm , 28 Jan 2015 ,   Source: CNBC-TV18,"Prefer Axis Bank, SBI, KPIT Tech: Parag Thakkar"
9.30 am , 28 Jan 2015 ,   Source: CNBC-TV18,Expect upside in IndusInd Bank: Sudarshan Sukhani
9.39 am , 21 Jan 2015 ,   Source: Moneycontrol.com,"IndusInd Bank may breakout, says Sudarshan Sukhani"
12.13 pm , 14 Jan 2015 ,   Source: Moneycontrol.com,Indusind Bank appoints Ranbir Singh Butola as additional director
11.10 am , 14 Jan 2015 ,   Source: CNBC-TV18,Q4 to outdo Q3; see rate cut post Budget: IndusInd Bank
2.47 pm , 13 Jan 2015 ,   Source: CNBC-TV18,"IndusInd Q3 in line, maintain buy on stock: ICICI Direct"
1.51 pm , 13 Jan 2015 ,   Source: Moneycontrol.com,"IndusInd Bank meets forecast, profit up 29% at Rs 447 cr"
11.04 am , 13 Jan 2015 ,   Source: Moneycontrol.com,IndusInd Bank Q3 PAT seen up 30% at Rs 451cr: Motilal Oswal
5.45 pm , 12 Jan 2015 ,   Source: CNBC-TV18,IndusInd Bank Q3 profit seen up 27% to Rs 443 cr: Poll
2.49 pm , 12 Jan 2015 ,   Source: CNBC-TV18,"Buy Jubilant Foodworks, IndusInd Bank: Sudarshan Sukhani"
12.53 pm , 12 Jan 2015 ,   Source: CNBC-TV18,"Q3 Preview: PSU banks will see treasury gains, says UBS"
12.11 pm , 12 Jan 2015 ,   Source: CNBC-TV18,"Prefer Axis Bank, PNB: Harendra Kumar"
6.07 pm , 09 Jan 2015 ,   Source: CNBC-TV18,"Prefer HDFC Bank, IndusInd: Rahul Mohindar"
3.10 pm , 31 Dec 2014 ,   Source: CNBC-TV18,"Buy Arvind, IndusInd Bank, Sun Pharma: Sukhani"
10.25 pm , 29 Dec 2014 ,   Source: Moneycontrol.com,"IndusInd Bank Q3 results on Jan 13, 2015"
8.12 pm , 26 Dec 2014 ,   Source: Moneycontrol.com,IndusInd Bank re-appoints Romesh Sobti as MD & CEO 
9.59 am , 24 Dec 2014 ,   Source: CNBC-TV18,Buy IndusInd Bank on breakout: Sudarshan Sukhani
3.04 pm , 19 Dec 2014 ,   Source: CNBC-TV18,"Buy IndusInd Bank, Canara Bank; sell Wipro: Rahul Mohindar"
5.04 pm , 17 Dec 2014 ,   Source: CNBC-TV18,Prefer Asian Paints for long term: Sudarshan Sukhani
2.33 pm , 11 Dec 2014 ,   Source: Moneycontrol.com,IndusInd Bank expands presence across Punjab
3.55 pm , 28 Nov 2014 ,   Source: CNBC-TV18,"Prefer Kotak Mahindra Bank, Emami: Rajesh Agarwal"
12.26 pm , 25 Nov 2014 ,   Source: CNBC-TV18,IndusInd Bank top pick; sell Syndicate Bank: Rahul Arora
10.28 am , 24 Nov 2014 ,   Source: CNBC-TV18,"Buy Federal Bank, IndusInd Bank: Parag Thakkar"
2.56 pm , 17 Nov 2014 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 750: ABMoney
4.55 pm , 12 Nov 2014 ,   Source: CNBC-TV18,"Pick IndusInd Bank, says Parag Thakkar"
