Date,Actual Open,Actual High,Actual Low,Actual Close,Predicted Open,Predicted High,Predicted Low,Predicted Close
23-04-2020,938.799988,958.5,913.299988,954.75,915.7522,926.2275,908.4924,916.66156
24-04-2020,935,957.950012,926.099976,937.650024,920.9046,931.4446,913.5987,921.8232
27-04-2020,940.549988,957.599976,926.75,929.849976,926.39966,937.01117,919.0458,927.3278
28-04-2020,941.700012,943.099976,922.599976,931.400024,931.731,942.41583,924.34033,932.6687
29-04-2020,940,992.400024,933,976.75,936.1543,946.9077,928.7567,937.10297
30-04-2020,1001,1018.900024,992.25,1001.75,939.028,949.8372,931.66455,939.99023
04-05-2020,964,964,918,923.049988,942.72614,953.5922,935.35956,943.69965
05-05-2020,939,944.400024,908,911.650024,950.7705,961.7237,943.2685,951.7443
06-05-2020,919.700012,950,905,946.299988,957.38116,968.42035,949.8042,958.3525
07-05-2020,945,945,922.799988,924.950012,958.8961,969.9875,951.4018,959.8763
08-05-2020,942,943.049988,926,928.950012,956.346,967.45013,949.0287,957.3457
11-05-2020,939,954,914.299988,915.950012,951.78,962.8662,944.6518,952.80145
12-05-2020,901.450012,909,871.549988,901.150024,947.0775,958.1304,940.0922,948.1155
13-05-2020,964,964,922.150024,927.450012,943.2006,954.2179,936.2961,944.2465
14-05-2020,899.799988,910.5,890,893.900024,937.9473,948.9162,931.14136,938.9969
15-05-2020,898,898,875.5,888.200012,934.53723,945.4662,927.75507,935.5849
18-05-2020,888.599976,888.599976,831.25,836.400024,930.88074,941.76794,924.1234,931.92224
19-05-2020,858.700012,867.25,826,831.5,925.772,936.60583,919.07965,926.809
20-05-2020,835.400024,864,832.549988,858,917.3629,928.1146,910.8234,918.40125
21-05-2020,861.200012,884.049988,852.400024,859.799988,905.53156,916.1647,899.2186,906.5763
22-05-2020,850.099976,870.349976,833.299988,838.900024,892.7139,903.2047,886.6134,893.76306
26-05-2020,850,871.799988,848.900024,853.349976,882.5032,892.8577,876.4965,883.5465
27-05-2020,861,908.049988,857.349976,903.799988,875.0581,885.2949,869.0498,876.08514
28-05-2020,917.599976,950,913.5,945.049988,870.67365,880.821,864.58545,871.67847
,,,,,871.17474,881.279,864.8951,872.15314
