Date,Open,High,Low,Close,Adj Close,Volume
2012-04-24,360.000000,360.000000,349.075012,357.975006,304.472900,344244
2012-04-25,355.000000,357.725006,350.774994,351.875000,299.284546,207128
2012-04-26,352.549988,356.799988,350.100006,351.975006,299.369659,215868
2012-04-27,352.549988,360.750000,352.500000,356.250000,303.005676,650784
2012-04-30,359.000000,360.250000,351.125000,355.075012,302.006378,153266
2012-05-02,356.899994,360.500000,355.500000,357.475006,304.047638,215874
2012-05-03,357.500000,357.500000,351.049988,352.649994,299.943756,114166
2012-05-04,348.375000,351.000000,341.649994,343.924988,292.522797,312898
2012-05-07,341.825012,349.000000,334.674988,345.549988,293.904907,288140
2012-05-08,347.500000,349.500000,337.500000,338.450012,287.866119,161772
2012-05-09,335.500000,335.500000,323.774994,327.575012,278.616425,344390
2012-05-10,330.000000,338.500000,326.700012,330.625000,281.210571,319928
2012-05-11,330.000000,331.000000,321.200012,327.575012,278.616425,349780
2012-05-14,329.500000,334.950012,327.700012,329.125000,279.934723,194106
2012-05-15,327.500000,330.000000,324.299988,328.700012,279.573273,326208
2012-05-16,318.000000,329.950012,318.000000,328.325012,279.254364,192670
2012-05-17,331.625000,332.174988,316.500000,318.075012,270.536285,239766
2012-05-18,316.975006,324.000000,310.875000,321.975006,273.853363,341394
2012-05-21,321.750000,326.750000,319.000000,323.725006,275.341827,122468
2012-05-22,327.500000,328.000000,318.049988,319.299988,271.578186,162126
2012-05-23,321.950012,323.774994,317.100006,321.975006,273.853363,237168
2012-05-24,325.500000,328.000000,317.399994,325.575012,276.915375,304020
2012-05-25,324.500000,327.475006,318.049988,319.075012,271.386841,286142
2012-05-28,322.500000,328.049988,320.950012,327.125000,278.233673,175590
2012-05-29,328.500000,330.500000,326.125000,328.125000,279.084229,137056
2012-05-30,329.500000,331.399994,324.549988,328.600006,279.488220,800994
2012-05-31,328.200012,328.750000,324.000000,325.850006,277.149231,245498
2012-06-01,325.000000,327.450012,319.674988,322.424988,274.236145,265160
2012-06-04,321.899994,325.000000,318.100006,324.549988,276.043488,136834
2012-06-05,326.500000,329.174988,325.125000,327.375000,278.446289,135136
2012-06-06,329.450012,338.500000,328.500000,337.850006,287.355774,532638
2012-06-07,338.000000,345.250000,325.000000,343.950012,292.544067,242134
